collectionName,country,queryCount,averageLatency
listingCollection,Cyprus,100,0.54
nonShardedCollection,Cyprus,100,5.43
listingCollection,Malta,100,0.34
nonShardedCollection,Malta,100,5.66
listingCollection,Sweden,100,0.31
nonShardedCollection,Sweden,100,4.81
listingCollection,Netherlands,100,0.32
nonShardedCollection,Netherlands,100,4.85
listingCollection,Denmark,100,0.42
nonShardedCollection,Denmark,100,4.89
listingCollection,Poland,100,0.32
nonShardedCollection,Poland,100,4.81
listingCollection,Belgium,100,0.33
nonShardedCollection,Belgium,100,4.84
listingCollection,Estonia,100,0.32
nonShardedCollection,Estonia,100,4.84
listingCollection,Latvia,100,0.32
nonShardedCollection,Latvia,100,4.82
listingCollection,Slovenia,100,0.32
nonShardedCollection,Slovenia,100,4.87
