collectionName,country,queryCount,averageLatency
listingCollection,Netherlands,100,6.36
nonShardedCollection,Netherlands,100,4.93
listingCollection,Hungary,100,5.81
nonShardedCollection,Hungary,100,5.11
listingCollection,Slovenia,100,5.88
nonShardedCollection,Slovenia,100,5.21
listingCollection,Malta,100,5.78
nonShardedCollection,Malta,100,4.84
listingCollection,Sweden,100,5.82
nonShardedCollection,Sweden,100,4.86
listingCollection,Greece,100,5.88
nonShardedCollection,Greece,100,4.97
listingCollection,Estonia,100,6.09
nonShardedCollection,Estonia,100,4.94
listingCollection,Austria,100,5.78
nonShardedCollection,Austria,100,4.88
listingCollection,Croatia,100,5.76
nonShardedCollection,Croatia,100,4.83
listingCollection,Belgium,100,5.86
nonShardedCollection,Belgium,100,4.97
