collectionName,country,queryCount,averageLatency
listingCollection,Denmark,100,0.82
nonShardedCollection,Denmark,100,16.26
listingCollection,Lithuania,100,0.59
nonShardedCollection,Lithuania,100,16.24
listingCollection,Czech Republic,100,0.53
nonShardedCollection,Czech Republic,100,16.13
listingCollection,Slovenia,100,0.53
nonShardedCollection,Slovenia,100,16.47
listingCollection,Spain,100,0.53
nonShardedCollection,Spain,100,17.68
listingCollection,Luxembourg,100,0.64
nonShardedCollection,Luxembourg,100,16.61
listingCollection,Estonia,100,0.75
nonShardedCollection,Estonia,100,17.15
listingCollection,Portugal,100,0.54
nonShardedCollection,Portugal,100,16.24
listingCollection,Croatia,100,0.49
nonShardedCollection,Croatia,100,15.93
listingCollection,Slovakia,100,0.61
nonShardedCollection,Slovakia,100,16.10
